"1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"60",0.03986,0.03553,0.03062,0.04311,0.03912,0.03885,0.04113,0.04141,0.03453,0.03634,0.04017,0.03998,0.03643,0.03698,0.04064,0.0379,0.0373,0.0343,0.03534,0.0364,0.03155,0.03706,0.03271,0.03513,0.03688,0.04063,0.03933,0.03846,0.03568,0.03552,0.038,0.03615,0.03423,0.03368,0.03534,0.03627,0.0323,0.03437,0.03226,0.02913,0.02988,0.03053,0.03527,0.03079,0.03368,0.02954,0.0289,0.02699,0.03134,0.02874,0.02618,0.02871,0.02623,0.02778,0.02655,0.02621,0.02672,0.02824,0.02871,0.02638,0.02659,0.02351,0.02483,0.02585,0.02493,0.02501,0.02433,0.02247,0.02555,0.02363,0.02215,0.02077,0.02177,0.02016,0.02053,0.01872,0.02114,0.01877,0.02081,0.02065,0.01912,0.02046,0.02013,0.01983,0.01886,0.02025,0.01896,0.01933,0.01946,0.01841,0.01811,0.01829,0.01838,0.01767,0.01696,0.01616,0.01722,0.01748,0.0143,0.01492,0.01484,0.01394,0.01508,0.01397,0.01508,0.01564,0.01323,0.01508,0.01415,0.01328,0.01323,0.01355,0.01216,0.01232,0.01305,0.01154,0.01248,0.00961,0.01041,0.01012,0.00952,0.00965,0.0092,0.00942,0.00956,0.00818,0.00918,0.00855,0.0083,0.00782,0.0076,0.00707,0.00683,0.00678,0.0074,0.00669,0.00709,0.00687,0.00659,0.00665,0.00575
"61",0.04841,0.04056,0.03715,0.03327,0.03975,0.04238,0.04294,0.03949,0.03787,0.0417,0.03691,0.03543,0.03843,0.03919,0.03884,0.04058,0.04092,0.04028,0.0383,0.03933,0.03848,0.03602,0.03526,0.03407,0.03659,0.03934,0.03935,0.03852,0.03308,0.04211,0.03811,0.03597,0.03711,0.03358,0.04139,0.03977,0.03535,0.03695,0.03036,0.03271,0.03175,0.03358,0.0384,0.03439,0.03386,0.03437,0.02997,0.03001,0.03468,0.0343,0.0291,0.03219,0.03156,0.03174,0.03146,0.02768,0.02674,0.02638,0.02735,0.02977,0.02979,0.02684,0.02424,0.02399,0.02711,0.02783,0.0249,0.02632,0.02385,0.02695,0.02232,0.02312,0.02168,0.02206,0.02207,0.02277,0.02059,0.02412,0.02055,0.02291,0.02065,0.02098,0.02033,0.02006,0.02177,0.02085,0.02182,0.02032,0.02197,0.01986,0.01965,0.01978,0.01969,0.0204,0.01825,0.02001,0.0188,0.01772,0.01648,0.01718,0.0163,0.01613,0.01583,0.01613,0.01757,0.01622,0.01476,0.01538,0.01489,0.01538,0.01408,0.01309,0.01431,0.01286,0.01336,0.01369,0.01217,0.01308,0.01116,0.01184,0.01101,0.01052,0.0117,0.01013,0.01004,0.0104,0.01052,0.01009,0.00877,0.00893,0.00871,0.00891,0.00757,0.00818,0.00767,0.00723,0.00715,0.00795,0.00686,0.00726,0.00659
"62",0.04885,0.04153,0.04511,0.04022,0.03051,0.04275,0.04765,0.04375,0.03998,0.04247,0.04308,0.03976,0.04266,0.039,0.04345,0.03924,0.04339,0.04429,0.04172,0.04069,0.04365,0.03987,0.03897,0.0409,0.04123,0.03726,0.03687,0.04329,0.0404,0.04031,0.03872,0.04187,0.04094,0.03938,0.03806,0.0411,0.03792,0.039,0.03652,0.03793,0.0353,0.03585,0.04207,0.03811,0.03851,0.03303,0.03781,0.03227,0.03461,0.03439,0.03697,0.03315,0.03297,0.03624,0.02981,0.03221,0.03171,0.0282,0.02725,0.02965,0.03144,0.02953,0.02861,0.02932,0.02681,0.02782,0.02709,0.02628,0.02813,0.02563,0.02475,0.02525,0.02265,0.0256,0.02398,0.02583,0.02039,0.02234,0.02321,0.02288,0.02462,0.02436,0.02236,0.02313,0.02305,0.02338,0.02492,0.02481,0.02269,0.02192,0.02074,0.0214,0.02106,0.02171,0.02142,0.02076,0.0207,0.02107,0.01939,0.01913,0.01865,0.017,0.01889,0.01767,0.01822,0.01756,0.01752,0.01731,0.01694,0.01603,0.0153,0.01633,0.0151,0.01444,0.01672,0.01314,0.01356,0.01305,0.01272,0.01233,0.0116,0.01115,0.01228,0.01183,0.01069,0.01069,0.00995,0.00983,0.00935,0.00994,0.00961,0.01003,0.00992,0.0076,0.00887,0.00832,0.00867,0.00739,0.00755,0.00875,0.00791
"63",0.04938,0.04986,0.04958,0.05356,0.04381,0.03694,0.05167,0.04666,0.04388,0.04102,0.04402,0.04684,0.04033,0.04377,0.05125,0.04268,0.04428,0.04642,0.04433,0.04487,0.04219,0.04368,0.04316,0.04023,0.04411,0.04047,0.04153,0.04409,0.04614,0.04581,0.04556,0.04581,0.04333,0.04374,0.04287,0.04004,0.04287,0.03951,0.04481,0.04153,0.0375,0.04198,0.0385,0.03469,0.03916,0.03683,0.03939,0.037,0.03947,0.03472,0.03523,0.03631,0.03318,0.03659,0.03584,0.03595,0.03298,0.03216,0.02981,0.03238,0.03097,0.03268,0.03286,0.03586,0.03125,0.03133,0.02915,0.02787,0.03145,0.0285,0.02717,0.02972,0.02717,0.02662,0.02733,0.02636,0.02446,0.02822,0.02515,0.02439,0.02468,0.02667,0.0228,0.02397,0.02533,0.02655,0.02524,0.02591,0.02447,0.02597,0.02375,0.02368,0.02182,0.02363,0.02346,0.02355,0.02169,0.02165,0.02267,0.01965,0.02267,0.02024,0.01968,0.01983,0.01999,0.0201,0.01986,0.01961,0.01875,0.01702,0.01738,0.01651,0.0163,0.01535,0.01615,0.01592,0.01533,0.01502,0.0138,0.01511,0.01334,0.01289,0.01341,0.01406,0.01236,0.01153,0.01187,0.0111,0.01061,0.0105,0.00929,0.01077,0.01009,0.01024,0.00942,0.00888,0.00998,0.00859,0.00885,0.00851,0.00775
"64",0.05805,0.04765,0.0528,0.05273,0.04907,0.04612,0.03849,0.04886,0.05324,0.05186,0.05003,0.04901,0.05045,0.04581,0.04713,0.04389,0.04814,0.04974,0.04553,0.04978,0.04643,0.04748,0.04963,0.04323,0.04896,0.04515,0.04285,0.04841,0.0453,0.05372,0.04842,0.0465,0.04713,0.04819,0.04852,0.04519,0.03856,0.04518,0.04463,0.04471,0.04108,0.04706,0.04484,0.04163,0.04586,0.0414,0.03912,0.03627,0.04431,0.03979,0.03556,0.04197,0.03709,0.04014,0.03791,0.04135,0.04032,0.0349,0.03614,0.03389,0.03421,0.03307,0.0375,0.03526,0.03461,0.03051,0.02945,0.03114,0.03494,0.03125,0.0315,0.02922,0.0295,0.02729,0.02925,0.02846,0.0262,0.02844,0.02662,0.02698,0.02817,0.02643,0.02619,0.02686,0.02941,0.02717,0.02737,0.02866,0.02652,0.02553,0.0283,0.02602,0.0276,0.02757,0.02537,0.02688,0.02347,0.02509,0.02304,0.02143,0.02341,0.02205,0.02157,0.02229,0.02027,0.02255,0.02,0.02205,0.02002,0.02113,0.02069,0.01856,0.02117,0.01881,0.01652,0.01755,0.01709,0.01684,0.01446,0.01571,0.0143,0.0149,0.01564,0.01441,0.0133,0.01249,0.01171,0.0117,0.01159,0.01123,0.01091,0.011,0.01103,0.01071,0.00977,0.0102,0.01032,0.0105,0.00944,0.01062,0.01001
"65",0.05785,0.05182,0.05707,0.05793,0.05721,0.0572,0.05093,0.04384,0.05658,0.05443,0.0554,0.05233,0.04883,0.05603,0.04987,0.05464,0.04997,0.05374,0.05344,0.05409,0.04941,0.0508,0.04711,0.04901,0.05402,0.04677,0.05198,0.04992,0.05079,0.05302,0.04808,0.04832,0.05224,0.04715,0.05063,0.05215,0.04292,0.04237,0.0469,0.04572,0.04408,0.04659,0.05486,0.04825,0.0437,0.03986,0.04513,0.04178,0.04484,0.04887,0.03905,0.04227,0.04348,0.04696,0.04135,0.04532,0.04365,0.03995,0.03649,0.04426,0.0354,0.03443,0.03747,0.03967,0.03794,0.0367,0.03424,0.03258,0.03546,0.03417,0.03117,0.03386,0.03428,0.03101,0.03067,0.031,0.03135,0.03304,0.03237,0.03068,0.03013,0.02872,0.02784,0.02879,0.03032,0.02884,0.03157,0.03294,0.0297,0.03211,0.03038,0.0284,0.02837,0.0294,0.02889,0.02806,0.02753,0.02608,0.02451,0.02583,0.02585,0.02664,0.02458,0.02342,0.02539,0.02485,0.02369,0.02332,0.02055,0.02286,0.02131,0.02121,0.01959,0.02021,0.01931,0.01852,0.01932,0.01872,0.01801,0.01718,0.01672,0.017,0.01516,0.01467,0.01463,0.0148,0.01356,0.01329,0.01344,0.01311,0.01181,0.01241,0.01185,0.01154,0.0114,0.01177,0.01132,0.0108,0.01121,0.00955,0.01066
"66",0.06163,0.05748,0.05581,0.05676,0.05924,0.05714,0.06045,0.05309,0.04052,0.05989,0.06674,0.05553,0.05845,0.05236,0.0647,0.05484,0.05723,0.05814,0.05983,0.05551,0.05551,0.05708,0.05736,0.05215,0.05731,0.05407,0.05256,0.05558,0.05129,0.05484,0.0578,0.05782,0.05196,0.0553,0.05507,0.05478,0.05269,0.05027,0.04897,0.04967,0.05427,0.05873,0.05295,0.05144,0.04719,0.04398,0.04922,0.04699,0.04837,0.04613,0.04554,0.04447,0.04647,0.04974,0.0486,0.04657,0.04648,0.04438,0.04259,0.0447,0.04144,0.03799,0.03931,0.04158,0.0442,0.04106,0.03807,0.03384,0.03715,0.03894,0.03659,0.03581,0.03967,0.03444,0.03373,0.03681,0.03476,0.03498,0.03555,0.03366,0.03257,0.03389,0.03381,0.02899,0.0329,0.03378,0.03287,0.0352,0.0333,0.03316,0.03343,0.0344,0.03306,0.0321,0.02968,0.03149,0.02896,0.02915,0.03007,0.02951,0.02722,0.02874,0.02727,0.02604,0.02667,0.02544,0.02511,0.02652,0.02337,0.0254,0.02452,0.02304,0.02254,0.02248,0.0227,0.02215,0.02086,0.02089,0.01895,0.02001,0.01899,0.01668,0.01638,0.01634,0.01598,0.01697,0.01457,0.01523,0.01452,0.01364,0.01342,0.01367,0.01359,0.01166,0.01246,0.01131,0.01157,0.01178,0.01195,0.01139,0.01116
"67",0.06662,0.06076,0.06131,0.06485,0.05935,0.05879,0.06891,0.06316,0.0583,0.04697,0.06642,0.06557,0.05996,0.06333,0.06579,0.06194,0.0574,0.06124,0.06828,0.05813,0.06173,0.05758,0.05875,0.05268,0.05478,0.05976,0.05728,0.06105,0.05814,0.05739,0.06101,0.0614,0.06011,0.06162,0.06096,0.05873,0.06065,0.05849,0.05265,0.05097,0.0587,0.06389,0.05795,0.05675,0.0529,0.05019,0.04972,0.04467,0.05131,0.04956,0.05183,0.05029,0.05192,0.05223,0.04887,0.04971,0.04994,0.04679,0.04846,0.05022,0.04564,0.04383,0.04386,0.04037,0.04391,0.04197,0.04123,0.04006,0.04226,0.04133,0.03774,0.04043,0.03852,0.03762,0.03825,0.03851,0.03659,0.03862,0.03727,0.03674,0.03595,0.03861,0.03527,0.03734,0.03715,0.03535,0.03649,0.03606,0.03571,0.03662,0.03607,0.03681,0.03553,0.03514,0.03451,0.03403,0.03423,0.03161,0.03417,0.0326,0.03125,0.03076,0.02893,0.02956,0.02774,0.02876,0.02787,0.02847,0.02878,0.02602,0.02814,0.0261,0.02558,0.02419,0.02514,0.02423,0.02358,0.02352,0.02208,0.02058,0.01912,0.02,0.01906,0.01809,0.01828,0.01706,0.01602,0.01712,0.01646,0.01407,0.01412,0.01419,0.01341,0.01339,0.01371,0.01326,0.01315,0.01152,0.01303,0.01291,0.01224
"68",0.07229,0.07166,0.06465,0.07071,0.06977,0.06315,0.06892,0.06945,0.066,0.06358,0.05046,0.06503,0.07577,0.06466,0.06636,0.06751,0.0636,0.06361,0.06683,0.06378,0.06122,0.05761,0.06279,0.06007,0.06502,0.05954,0.06272,0.06277,0.06319,0.06444,0.06243,0.0669,0.06351,0.07026,0.06542,0.06308,0.06073,0.06375,0.0614,0.05699,0.05134,0.06379,0.06818,0.06116,0.05822,0.05688,0.05623,0.04694,0.05379,0.05164,0.04687,0.05482,0.05416,0.05706,0.05535,0.05414,0.05642,0.0498,0.05286,0.05366,0.04673,0.04687,0.04768,0.04585,0.04419,0.046,0.04228,0.04584,0.04973,0.04507,0.0466,0.04532,0.04643,0.04328,0.04051,0.04297,0.04011,0.03825,0.04218,0.03887,0.04068,0.04251,0.03826,0.03722,0.03739,0.03571,0.03999,0.0423,0.03952,0.04042,0.03828,0.03936,0.03851,0.04058,0.03818,0.03666,0.03476,0.03593,0.03647,0.03412,0.03262,0.03243,0.03409,0.03171,0.03231,0.03085,0.02755,0.02854,0.02828,0.02969,0.03022,0.02975,0.02723,0.02591,0.02776,0.02665,0.02397,0.02449,0.02428,0.02297,0.02203,0.0227,0.02035,0.01953,0.0208,0.02007,0.01771,0.01743,0.01572,0.01644,0.01548,0.01588,0.01718,0.01608,0.01599,0.01489,0.01346,0.01404,0.01388,0.01434,0.01281
"69",0.07583,0.07155,0.0757,0.0788,0.07622,0.0674,0.06669,0.07012,0.07518,0.07161,0.06726,0.05542,0.07324,0.07691,0.07663,0.06791,0.06863,0.0716,0.07297,0.06948,0.07006,0.06479,0.06637,0.0653,0.07151,0.06169,0.06605,0.07445,0.06903,0.07062,0.06402,0.06995,0.06574,0.07056,0.07221,0.06557,0.06654,0.06715,0.06896,0.06679,0.06641,0.06437,0.07516,0.06597,0.06765,0.06282,0.06619,0.0583,0.05696,0.05814,0.05725,0.05759,0.05813,0.06333,0.05513,0.05828,0.0574,0.05375,0.05175,0.06093,0.05463,0.05424,0.05491,0.05465,0.05547,0.04371,0.04672,0.04755,0.05178,0.05256,0.04799,0.04869,0.05157,0.04969,0.04247,0.04595,0.04115,0.0443,0.04283,0.04622,0.04511,0.04631,0.04152,0.04166,0.04291,0.04065,0.0434,0.04358,0.04249,0.04408,0.04093,0.04221,0.04227,0.04319,0.04176,0.04184,0.04052,0.03792,0.03603,0.03796,0.03807,0.03683,0.03572,0.03541,0.03319,0.03282,0.03296,0.03217,0.03254,0.03322,0.0322,0.03011,0.03156,0.02904,0.02966,0.02848,0.02902,0.02896,0.02648,0.02807,0.02544,0.02453,0.02324,0.02298,0.02314,0.021,0.02029,0.02002,0.01917,0.01939,0.01673,0.01736,0.01603,0.01566,0.01654,0.01544,0.01591,0.01532,0.01532,0.01506,0.01329
"70",0.08852,0.08178,0.08768,0.08834,0.08307,0.08076,0.08781,0.07493,0.07802,0.08663,0.07491,0.0731,0.06026,0.07547,0.09086,0.07986,0.07201,0.08005,0.08016,0.07069,0.07207,0.08062,0.06936,0.06968,0.07254,0.0766,0.06704,0.0664,0.07493,0.07954,0.0754,0.07393,0.06721,0.07471,0.0733,0.07985,0.076,0.07879,0.07368,0.07235,0.07345,0.07315,0.07209,0.0754,0.07693,0.06944,0.06801,0.0633,0.06327,0.06207,0.06056,0.07174,0.06248,0.06617,0.06134,0.06535,0.06404,0.06129,0.0648,0.06081,0.06156,0.05934,0.06156,0.05885,0.06054,0.05403,0.05251,0.05163,0.06102,0.05399,0.05483,0.05149,0.05573,0.0539,0.05018,0.05214,0.04658,0.05114,0.04825,0.04884,0.04785,0.05185,0.04357,0.04406,0.04583,0.04294,0.04716,0.04921,0.04542,0.04663,0.04747,0.04914,0.04792,0.04477,0.04373,0.04334,0.04012,0.04177,0.04365,0.03984,0.04142,0.04041,0.03864,0.03802,0.03987,0.03802,0.03667,0.036,0.03281,0.03328,0.03344,0.03119,0.03114,0.03039,0.03169,0.03129,0.03246,0.02945,0.02925,0.03074,0.02739,0.02553,0.02514,0.0257,0.02496,0.02383,0.02518,0.01992,0.02125,0.01945,0.0202,0.01916,0.01728,0.01865,0.01741,0.01806,0.01777,0.01708,0.01614,0.01699,0.01512
"71",0.09036,0.09077,0.08152,0.09529,0.08043,0.09133,0.08806,0.0823,0.07664,0.0835,0.08035,0.09673,0.07679,0.06256,0.09347,0.08426,0.08432,0.08143,0.08706,0.08972,0.07709,0.08299,0.07852,0.07291,0.08604,0.08073,0.07871,0.08134,0.0803,0.09216,0.08018,0.07732,0.08048,0.07623,0.07674,0.08857,0.07337,0.08439,0.07817,0.07261,0.07611,0.08738,0.0878,0.07556,0.07753,0.07599,0.07989,0.07521,0.06843,0.07028,0.06508,0.07091,0.07286,0.06945,0.06675,0.06941,0.07229,0.06308,0.06326,0.06775,0.0626,0.06166,0.06171,0.06464,0.068,0.059,0.05528,0.05421,0.06,0.05667,0.06036,0.06003,0.05985,0.0573,0.05489,0.05714,0.0531,0.05259,0.05268,0.04866,0.05345,0.04987,0.04778,0.0508,0.04935,0.05234,0.05077,0.05285,0.04999,0.05347,0.05041,0.05121,0.04795,0.05134,0.05031,0.04757,0.04886,0.04703,0.04912,0.04198,0.04634,0.04135,0.04154,0.04035,0.04116,0.04378,0.03939,0.03872,0.03761,0.03532,0.03628,0.03802,0.0338,0.03265,0.03707,0.03577,0.03234,0.03161,0.03007,0.03186,0.0317,0.02717,0.02839,0.02967,0.02793,0.02644,0.02586,0.0235,0.02169,0.02304,0.02041,0.02131,0.0193,0.01861,0.02059,0.01809,0.01789,0.01755,0.01835,0.0182,0.0173
"72",0.11191,0.08858,0.09227,0.08621,0.09326,0.09566,0.09332,0.08464,0.09565,0.08534,0.09244,0.09544,0.09451,0.08557,0.08761,0.09732,0.10202,0.08897,0.09647,0.09189,0.08745,0.07348,0.08935,0.089,0.08569,0.08669,0.0829,0.09214,0.08718,0.08495,0.0894,0.08196,0.09114,0.08592,0.0855,0.09021,0.09215,0.08634,0.07939,0.07865,0.07995,0.09052,0.09281,0.08391,0.07819,0.08068,0.08828,0.08205,0.08144,0.07189,0.0681,0.07158,0.07277,0.08034,0.07233,0.06389,0.07296,0.07094,0.0645,0.07627,0.07193,0.07065,0.07177,0.07672,0.07118,0.06659,0.06503,0.06549,0.06651,0.06906,0.06394,0.06409,0.06114,0.06415,0.05797,0.06478,0.05868,0.05815,0.05641,0.05729,0.05842,0.05713,0.05725,0.05588,0.05541,0.05748,0.05718,0.05617,0.05397,0.05356,0.05611,0.05148,0.05394,0.0603,0.05509,0.05462,0.05287,0.0491,0.04921,0.04816,0.04654,0.0456,0.04928,0.04477,0.04706,0.04436,0.04539,0.04496,0.04116,0.03988,0.03936,0.03884,0.03943,0.03829,0.03857,0.03742,0.03762,0.03655,0.03675,0.03451,0.0327,0.0302,0.03241,0.03054,0.02842,0.02951,0.02874,0.02645,0.0247,0.02473,0.02371,0.02292,0.02206,0.02151,0.01977,0.01972,0.01936,0.02079,0.01911,0.02036,0.01931
"73",0.11662,0.1021,0.10258,0.11837,0.09863,0.10466,0.10999,0.09841,0.09855,0.10849,0.1012,0.10171,0.10569,0.10591,0.0998,0.07989,0.10084,0.1128,0.09654,0.09675,0.08723,0.09935,0.08536,0.0898,0.10024,0.09539,0.08231,0.09184,0.08616,0.09125,0.08794,0.09044,0.08987,0.09082,0.09058,0.08728,0.08465,0.09013,0.10215,0.08989,0.08348,0.09577,0.10579,0.09452,0.07806,0.08045,0.08658,0.08637,0.09434,0.08794,0.07292,0.0831,0.07885,0.08526,0.0784,0.08769,0.08243,0.07655,0.0726,0.07608,0.07741,0.07895,0.07281,0.08557,0.07837,0.07215,0.07129,0.0685,0.07839,0.07153,0.06621,0.07276,0.06804,0.06891,0.0664,0.06765,0.0671,0.06319,0.05912,0.06159,0.06251,0.06318,0.05907,0.05743,0.05924,0.0592,0.06648,0.06028,0.05662,0.05923,0.06208,0.06237,0.0586,0.06237,0.06025,0.05755,0.0586,0.0542,0.05575,0.05475,0.05168,0.04987,0.05345,0.05148,0.04977,0.04905,0.05064,0.051,0.04655,0.04505,0.04453,0.04305,0.04399,0.04263,0.04005,0.03974,0.04064,0.04206,0.03817,0.03683,0.03649,0.03888,0.03419,0.03435,0.03285,0.03027,0.03111,0.03253,0.02891,0.02671,0.02569,0.02715,0.02478,0.02508,0.02373,0.02291,0.02324,0.02276,0.02149,0.02279,0.02017
"74",0.13223,0.11672,0.1286,0.1241,0.11092,0.113,0.11002,0.11923,0.10172,0.10228,0.12051,0.11428,0.10348,0.11065,0.13117,0.10596,0.08075,0.11509,0.12302,0.10844,0.10879,0.10507,0.09882,0.10195,0.10697,0.10414,0.10192,0.10091,0.10412,0.10667,0.10103,0.101,0.0986,0.10919,0.09777,0.10454,0.09532,0.10201,0.09968,0.10566,0.10351,0.10895,0.10847,0.10171,0.10517,0.09563,0.09357,0.09042,0.10287,0.09933,0.08758,0.09462,0.08435,0.09118,0.08143,0.09098,0.0878,0.08563,0.08492,0.09168,0.08338,0.08613,0.08502,0.08665,0.08883,0.08823,0.07517,0.07729,0.08136,0.08139,0.07934,0.07267,0.07581,0.07591,0.07254,0.07287,0.06904,0.0714,0.0694,0.06526,0.07107,0.07044,0.06576,0.06793,0.06721,0.06646,0.06864,0.07223,0.06799,0.06749,0.06699,0.06555,0.0662,0.06685,0.06511,0.0627,0.05895,0.06363,0.05793,0.05955,0.05967,0.05722,0.05798,0.05627,0.05778,0.05559,0.05168,0.05147,0.05186,0.05381,0.05041,0.04892,0.04639,0.04883,0.04699,0.04721,0.04682,0.04258,0.04179,0.04186,0.0438,0.04112,0.04175,0.03795,0.03488,0.03618,0.03374,0.03336,0.03336,0.03094,0.02979,0.02717,0.02739,0.02814,0.02533,0.02606,0.02383,0.02549,0.0232,0.02467,0.02271
"75",0.12765,0.11898,0.12897,0.13449,0.12184,0.12152,0.11195,0.12004,0.11961,0.11958,0.12461,0.12456,0.12279,0.14241,0.13313,0.12648,0.10196,0.08844,0.11863,0.12298,0.10802,0.11547,0.11111,0.09911,0.11161,0.10495,0.10437,0.10876,0.10011,0.11171,0.1173,0.10052,0.10474,0.11687,0.11548,0.11586,0.10932,0.10461,0.11025,0.10461,0.11202,0.11741,0.11234,0.10367,0.10295,0.10377,0.10238,0.09009,0.09966,0.10299,0.10155,0.10538,0.09523,0.10697,0.08873,0.09856,0.10076,0.08826,0.09166,0.09861,0.09253,0.08865,0.10851,0.09336,0.09813,0.08685,0.09211,0.08636,0.08544,0.08614,0.0868,0.08446,0.08472,0.08171,0.08145,0.0847,0.07833,0.07886,0.07788,0.07306,0.07877,0.0755,0.0696,0.06886,0.07243,0.06836,0.07581,0.07883,0.06603,0.07457,0.0717,0.06952,0.07602,0.0698,0.06716,0.06719,0.06821,0.06641,0.06524,0.06319,0.06506,0.06182,0.05921,0.05924,0.05792,0.05879,0.05667,0.05947,0.05618,0.05531,0.05549,0.05082,0.05283,0.04917,0.05245,0.04897,0.04792,0.0482,0.05099,0.04453,0.04267,0.04525,0.04478,0.04327,0.04186,0.03918,0.03548,0.03842,0.03303,0.03457,0.0345,0.03161,0.03006,0.02987,0.02882,0.03002,0.02736,0.02658,0.02548,0.02734,0.0254
